precipitacao,umidade_especifica,umidade_relativa,temperatura,rendimento
2248.92,17.72,83.4,26.01,11560
1938.42,17.54,82.11,26.11,11253
2301.54,17.81,82.79,26.24,9456
2592.35,17.61,85.07,25.56,9321
2344.72,17.61,84.12,25.76,8800
2339.3,17.7,84.54,25.76,8850
2326.09,18.09,84.63,26.11,9003
2339.3,18.3,85.43,26.12,9880
2718.08,17.8,84.36,25.88,9201
2061.61,17.94,83.43,26.21,8300
1934.62,18.03,84.39,26.1,5765
2217.12,18.01,84.24,26.11,5812
2249.7,18.15,85.33,26.02,6667
2530.96,18.19,85.45,26.02,6530
2504.7,18.38,85.77,26.13,6912
2686.2,18.18,85.76,25.93,7138
2414.79,18.2,84.36,26.27,7525
1999.53,18.7,84.03,26.79,7663
2362.8,18.24,86.04,25.95,8300
2792.95,18.31,85.98,26.02,9274
